pre_root_id	post_root_id	neuropil	syn_count	nt_type
720575940629970489	720575940631267655	AVLP_R	7	GABA
720575940605876866	720575940606514878	LAL_R	15	GABA
720575940627737365	720575940628914436	AL_L	32	ACH
720575940633587552	720575940626452879	SMP_R	15	ACH
720575940616871878	720575940621203973	AVLP_L	13	GABA
720575940619895125	720575940618561403	AL_L	31	ACH
720575940659399809	720575940604569824	AVLP_R	158	ACH
720575940613583001	720575940623353013	MB_ML_R	9	GABA
720575940645989655	720575940612937073	CRE_L	4	GABA
720575940619615552	720575940613174963	AVLP_R	5	ACH
720575940651461622	720575940612290019	AVLP_R	10	GLUT
720575940634042012	720575940623989577	SMP_R	9	GLUT
720575940630005147	720575940624606758	SLP_R	4	ACH
720575940647154564	720575940622462173	CRE_L	13	ACH
720575940625002936	720575940632028216	GNG	76	GABA
720575940623122125	720575940623817223	CRE_R	3	ACH
720575940612464867	720575940627572349	SMP_L	11	ACH
720575940623069001	720575940628970748	CRE_L	7	ACH
720575940611430513	720575940613540350	SMP_R	6	GLUT
720575940606745190	720575940618311070	CRE_L	4	GLUT
720575940622252493	720575940639214655	EB	26	GABA
720575940623834300	720575940619900507	PRW	13	ACH
720575940616739397	720575940621689727	AVLP_R	41	ACH
720575940624402173	720575940639227224	PRW	14	ACH
720575940630732414	720575940611428977	SMP_R	10	ACH
720575940625516830	720575940624373837	EB	17	GABA
720575940621659563	720575940609282825	AL_R	7	GABA
720575940622252493	720575940630658807	EB	15	GABA
720575940645864739	720575940612210351	SMP_R	26	GLUT
720575940613191591	720575940625293514	AL_L	9	GABA
720575940626315010	720575940622547208	SMP_R	8	ACH
720575940629693302	720575940629461442	AL_R	29	ACH
720575940623688013	720575940635970190	LAL_R	5	GLUT
720575940627720335	720575940608293129	AL_R	10	ACH
720575940618385620	720575940653892257	AL_L	20	GABA
720575940629244166	720575940639214655	EB	47	GABA
720575940631758393	720575940630613575	MB_VL_L	2	DA
720575940628083516	720575940611619314	AVLP_R	44	ACH
720575940622018217	720575940623019544	LAL_R	51	GABA
720575940618561403	720575940622920074	AL_L	97	SER
720575940631154743	720575940611216099	GA_L	9	GABA
720575940638668659	720575940623959477	AOTU_R	18	GABA
720575940627607812	720575940623433725	AVLP_R	94	ACH
720575940646353699	720575940606679142	CRE_R	9	GABA
720575940628808708	720575940623761447	AVLP_R	7	ACH
720575940604403628	720575940660914561	AL_R	100	ACH
720575940614899061	720575940620975696	MB_ML_L	18	ACH
720575940624233933	720575940640793251	SIP_R	11	ACH
720575940618003929	720575940637157232	LA_R	15	GLUT
720575940623183905	720575940626569018	SMP_L	8	ACH
720575940635153294	720575940624694503	MB_ML_R	20	ACH
720575940618149686	720575940640415859	AL_R	30	GLUT
720575940610491694	720575940637902938	SMP_L	48	ACH
720575940627850499	720575940604870577	LAL_R	26	GLUT
720575940634688151	720575940616762585	CRE_R	7	ACH
720575940618992449	720575940625934094	MB_VL_R	11	ACH
720575940622021558	720575940631517251	AOTU_R	15	ACH
720575940639465075	720575940626416205	SMP_L	39	GLUT
720575940621828443	720575940632212039	CRE_L	19	ACH
720575940613637782	720575940648650884	AL_L	31	ACH
720575940620459702	720575940620931312	AL_L	11	ACH
720575940610056516	720575940630623503	AVLP_R	31	ACH
720575940624469444	720575940615957393	AOTU_R	14	GLUT
720575940639961653	720575940638048419	AOTU_R	4	GLUT
720575940623107509	720575940622281904	LAL_R	18	ACH
720575940611713253	720575940625935544	CRE_R	4	GLUT
720575940630631736	720575940607276739	LAL_R	6	ACH
720575940617749538	720575940615285919	CRE_L	3	GABA
720575940630644727	720575940625990500	SMP_R	7	GABA
720575940617534676	720575940632795532	AL_L	28	ACH
720575940640340725	720575940638028607	MB_ML_L	14	ACH
720575940606137632	720575940625379859	SMP_R	7	ACH
720575940626111619	720575940620245696	CRE_R	6	ACH
720575940620096414	720575940638929571	CRE_L	3	GLUT
720575940614957162	720575940621613695	CRE_R	10	ACH
720575940626974737	720575940634699119	PRW	5	ACH
720575940622388716	720575940609387100	AVLP_R	11	GABA
720575940625464328	720575940619767744	EB	24	GABA
720575940614923462	720575940613065130	AVLP_R	8	ACH
720575940626896643	720575940613583001	MB_VL_R	8	ACH
720575940603274272	720575940623083242	LAL_R	9	ACH
720575940628873722	720575940635202204	SIP_R	1	ACH
720575940631698340	720575940627307194	AVLP_R	34	GABA
720575940644090135	720575940651557622	AVLP_R	22	GLUT
720575940620287476	720575940635106202	AVLP_L	58	GLUT
720575940619134789	720575940622600319	CRE_R	3	ACH
720575940627607812	720575940638231861	AVLP_R	15	ACH
720575940621781773	720575940619245016	CRE_R	10	ACH
720575940628445399	720575940619866759	CRE_L	6	GABA
720575940628772345	720575940616502175	MB_ML_R	2	GABA
720575940618757666	720575940631423116	AL_L	36	SER
720575940627748885	720575940611675634	SMP_R	12	ACH
720575940620878785	720575940613754833	FLA_R	7	GABA
720575940642338464	720575940625934094	SMP_R	3	ACH
720575940660217473	720575940630183286	AL_L	35	SER
720575940624547622	720575940622722485	MB_ML_L	18	GABA
720575940628344074	720575940631299090	GNG	92	ACH
720575940623689959	720575940607774044	LAL_R	8	GLUT
720575940630890282	720575940615267782	CRE_L	9	GABA
720575940639900213	720575940631664097	AVLP_R	16	ACH
720575940613258994	720575940631056184	SIP_R	8	GABA
720575940616791782	720575940621114177	MB_VL_L	1	GABA
720575940622123144	720575940622466027	PRW	5	GABA
720575940615210975	720575940614957162	CRE_R	10	GLUT
720575940623000858	720575940627606375	AL_L	9	GABA
720575940645264750	720575940640471504	CRE_L	4	GLUT
720575940635499888	720575940624694503	MB_ML_R	12	ACH
720575940619888622	720575940623158709	PRW	24	GLUT
720575940614684822	720575940624982823	LAL_L	16	ACH
720575940617623632	720575940630496374	MB_ML_L	8	ACH
720575940626464901	720575940625934094	MB_VL_R	6	ACH
720575940617986683	720575940621218694	GNG	12	ACH
720575940629768919	720575940618886710	AVLP_L	10	ACH
720575940622422507	720575940626793861	LAL_R	8	ACH
720575940635484517	720575940639031642	AOTU_R	13	ACH
720575940627410042	720575940610041050	AVLP_R	7	ACH
720575940614842262	720575940619772525	AL_R	21	ACH
720575940611740694	720575940606149321	AVLP_R	12	SER
720575940633198284	720575940610611246	PRW	3	SER
720575940627364102	720575940638668659	AOTU_R	60	ACH
720575940646353699	720575940607461899	LAL_L	16	GABA
720575940620210857	720575940625934094	MB_VL_R	6	ACH
720575940626763688	720575940620918789	LAL_L	37	ACH
720575940622084681	720575940624057853	AL_L	79	ACH
720575940608336514	720575940638897315	AVLP_R	4	GLUT
720575940621472294	720575940635092319	SMP_L	25	GLUT
720575940610981362	720575940637130985	GNG	3	ACH
720575940624377224	720575940605995721	AVLP_R	22	GABA
720575940630020345	720575940620346417	LAL_R	10	ACH
720575940628873722	720575940619828091	SIP_R	22	ACH
720575940634510703	720575940629981440	MB_ML_L	5	ACH
720575940624547622	720575940616089995	MB_ML_L	16	GABA
720575940623528925	720575940632094415	AL_L	23	ACH
720575940628212796	720575940612869269	EB	43	GABA
720575940624528740	720575940625172016	FLA_R	20	ACH
720575940623015694	720575940613583001	MB_ML_R	11	ACH
720575940617433142	720575940613489617	AL_L	4	ACH
720575940609202244	720575940620975696	MB_ML_L	9	ACH
720575940635202155	720575940626960536	GNG	15	ACH
720575940629778554	720575940632727756	GNG	19	GLUT
720575940629852419	720575940627594568	SMP_L	21	GLUT
720575940612461461	720575940628914692	AL_L	18	GABA
720575940631603267	720575940614892182	SIP_R	2	ACH
720575940652809889	720575940615101747	EB	55	GABA
720575940620464321	720575940620201069	CRE_L	11	GLUT
720575940631842360	720575940617064532	AVLP_R	14	GABA
720575940625686078	720575940648989305	AVLP_L	6	GABA
720575940625912871	720575940627110824	AVLP_R	65	ACH
720575940631292204	720575940613552947	AVLP_L	45	ACH
720575940612650792	720575940624547622	MB_VL_L	11	ACH
720575940631870291	720575940621339156	SMP_R	7	ACH
720575940637464718	720575940624243006	AOTU_R	19	GABA
720575940617647429	720575940624532408	FLA_L	2	ACH
720575940607155890	720575940626113661	AL_R	6	ACH
720575940622999688	720575940629440006	CRE_R	10	ACH
720575940634676069	720575940622319715	SMP_L	4	GLUT
720575940632930711	720575940625771858	AVLP_R	11	ACH
720575940632929690	720575940625934094	MB_VL_R	4	ACH
720575940629954872	720575940647030324	PRW	9	ACH
720575940613583001	720575940625934094	MB_PED_R	129	GABA
720575940615922875	720575940635681198	AVLP_R	80	ACH
720575940632930711	720575940627240890	AVLP_R	31	ACH
720575940612083240	720575940617123028	CRE_L	5	ACH
720575940630548751	720575940638604915	PRW	7	GLUT
720575940629397079	720575940624694503	MB_ML_R	14	ACH
720575940628121399	720575940644176164	SMP_L	2	ACH
720575940627572349	720575940625692444	SMP_L	33	GABA
720575940619904091	720575940639160408	SIP_R	6	ACH
720575940629290191	720575940626567178	SMP_R	2	ACH
720575940631586858	720575940630945335	AL_L	43	SER
720575940639226084	720575940625365512	SMP_R	3	ACH
720575940620585710	720575940624590316	MB_ML_L	31	DA
720575940631761977	720575940620975696	MB_ML_L	7	ACH
720575940627000582	720575940632795532	AL_L	30	ACH
720575940635119723	720575940610466514	AVLP_L	8	GABA
720575940624750729	720575940631517251	AOTU_R	19	GABA
720575940616169010	720575940632304711	GNG	16	ACH
720575940631423116	720575940623136717	AL_L	24	SER
720575940606452681	720575940613583001	MB_VL_R	4	ACH
720575940635202155	720575940623149581	GNG	79	ACH
720575940634729241	720575940623664664	LA_R	6	GLUT
720575940627235258	720575940622839786	SMP_R	22	ACH
720575940617187329	720575940621155092	EB	11	GABA
720575940620123631	720575940625078965	LAL_R	48	GABA
720575940646646148	720575940622997453	MB_VL_R	11	ACH
720575940622744414	720575940624335689	AOTU_R	8	ACH
720575940630703691	720575940609968858	CRE_L	6	ACH
720575940624694503	720575940624206472	CRE_R	22	GLUT
720575940603094700	720575940620880007	EB	12	GABA
720575940637002462	720575940632737081	SMP_L	5	ACH
720575940613532831	720575940622997453	MB_VL_R	6	ACH
720575940646288419	720575940624590316	MB_ML_L	15	DA
720575940652554657	720575940641643680	AVLP_R	15	ACH
720575940631002922	720575940630981906	SMP_L	11	ACH
720575940612082066	720575940618366843	AVLP_L	134	ACH
720575940624181436	720575940627370362	AVLP_R	7	ACH
720575940627253604	720575940607725321	LAL_L	66	GABA
720575940630396022	720575940617716893	AVLP_R	23	ACH
720575940617121819	720575940648708228	PRW	8	ACH
720575940613583001	720575940632003409	MB_PED_R	7	GABA
720575940624767434	720575940636679989	SAD	2	SER
720575940625559908	720575940629139834	AL_R	5	ACH
720575940647436835	720575940612188200	AVLP_R	24	GABA
720575940637570014	720575940654310049	AVLP_R	5	GLUT
720575940625643909	720575940624096235	CRE_L	7	ACH
720575940635990640	720575940627680911	LAL_R	9	ACH
720575940624176312	720575940628462927	PRW	17	GLUT
720575940617691170	720575940619134789	SMP_R	5	DA
720575940615651014	720575940623381956	MB_VL_R	4	ACH
720575940609691075	720575940603533246	AMMC_R	5	ACH
720575940622364771	720575940639278399	GA_L	6	ACH
720575940623437526	720575940621640363	AVLP_L	10	ACH
720575940632318751	720575940625968115	EB	12	GABA
720575940614428319	720575940622281904	LAL_R	74	ACH
720575940643361224	720575940626569018	AOTU_L	2	ACH
720575940659063169	720575940625595696	AVLP_R	26	ACH
720575940630904121	720575940629720848	EB	38	GABA
720575940620330545	720575940625102224	AVLP_R	6	GABA
720575940606102729	720575940625516830	EB	23	GABA
720575940626960536	720575940618166811	GNG	16	GABA
720575940625032171	720575940607667723	LAL_L	27	ACH
720575940618994859	720575940604569824	AVLP_R	38	ACH
720575940622923923	720575940622545546	AVLP_L	24	GABA
720575940623547133	720575940615594658	AL_L	13	ACH
720575940618659998	720575940630075703	MB_VL_L	5	ACH
720575940612202097	720575940622590207	AVLP_L	12	ACH
720575940650455286	720575940639031642	AOTU_R	11	ACH
720575940660217473	720575940630571052	AL_L	38	SER
720575940618677976	720575940621689727	AVLP_R	30	ACH
720575940615255603	720575940620005542	AVLP_R	8	GABA
720575940650455286	720575940610903961	AOTU_R	7	ACH
720575940622923923	720575940611498714	AVLP_L	13	GABA
720575940629910636	720575940624803511	CRE_R	8	ACH
720575940636348152	720575940628319546	CRE_L	9	GLUT
720575940645721379	720575940635089689	AVLP_R	57	ACH
720575940616864217	720575940612354034	GNG	32	GABA
720575940619453861	720575940613429782	AOTU_R	24	GABA
720575940621418120	720575940614321831	MB_ML_L	4	GABA
720575940617826624	720575940628356969	AOTU_L	11	ACH
720575940638319686	720575940621694401	AOTU_L	15	GLUT
720575940624377224	720575940621689727	AVLP_R	15	GABA
720575940624121161	720575940627740009	CRE_R	6	ACH
720575940634640014	720575940623381956	CRE_R	3	ACH
720575940633333916	720575940623681511	CRE_R	2	GABA
720575940628455942	720575940617492822	CRE_R	33	ACH
720575940640601563	720575940646088068	PRW	48	ACH
720575940631365260	720575940634407520	LAL_R	2	GABA
720575940628093895	720575940618103513	EB	14	GABA
720575940631670615	720575940612264817	AVLP_L	95	GLUT
720575940617257985	720575940618045776	AVLP_R	12	GABA
720575940621963388	720575940630190411	CRE_L	5	GLUT
720575940615856345	720575940619895125	AL_L	223	ACH
720575940631320168	720575940627076964	MB_VL_L	3	ACH
720575940631056185	720575940638604915	PRW	4	GABA
720575940627397263	720575940630867148	GNG	6	SER
720575940648606340	720575940645864739	CRE_R	5	ACH
720575940631583596	720575940619863796	AVLP_R	24	GLUT
720575940655015329	720575940627828040	GNG	34	ACH
720575940621662332	720575940618571200	SMP_R	13	GABA
720575940621882401	720575940606953858	MB_VL_R	5	ACH
720575940659611777	720575940631497078	AL_L	54	ACH
720575940616736198	720575940617691734	AVLP_R	119	GLUT
